server_name,tool.name,tool.description
OpenStreetMap (OSM) MCP Server,find_ev_charging_stations,"
Locate electric vehicle charging stations near a specific location.

This specialized search tool identifies EV charging infrastructure within a specified
distance from a location. Results can be filtered by connector type (Tesla, CCS, CHAdeMO, etc.)
and minimum power delivery. Essential for EV owners planning trips or evaluating potential
charging stops.

Args:
    latitude: Center point latitude (decimal degrees)
    longitude: Center point longitude (decimal degrees)
    radius: Search radius in meters (defaults to 5000m/5km)
    connector_types: Optional list of specific connector types to filter by
                    (e.g., [""type2"", ""ccs"", ""tesla""])
    min_power: Minimum charging power in kW
    
Returns:
    List of charging stations with:
    - Location name and operator
    - Available connector types
    - Charging speeds
    - Number of charging points
    - Access restrictions
    - Other relevant metadata
"
OpenStreetMap (OSM) MCP Server,analyze_neighborhood,"
Generate a comprehensive neighborhood analysis focused on livability factors.

This advanced analysis tool evaluates a neighborhood based on multiple livability factors,
including amenities, transportation options, green spaces, and services. Results include
counts and proximity scores for various categories, helping to assess the overall quality
and convenience of a residential area. Invaluable for real estate decisions, relocation
planning, and neighborhood comparisons.

Args:
    latitude: Center point latitude (decimal degrees)
    longitude: Center point longitude (decimal degrees)
    radius: Analysis radius in meters (defaults to 1000m/1km)
    
Returns:
    Comprehensive neighborhood profile including:
    - Overall neighborhood score
    - Walkability assessment
    - Public transportation access
    - Nearby amenities (shops, restaurants, services)
    - Green spaces and recreation
    - Education and healthcare facilities
    - Detailed counts and distance metrics for each category
"
OpenStreetMap (OSM) MCP Server,find_parking_facilities,"
Locate parking facilities near a specific location.

This tool finds parking options (lots, garages, street parking) near a specified location.
Results can be filtered by parking type and include capacity information where available.
Useful for trip planning, city navigation, and evaluating parking availability in urban areas.

Args:
    latitude: Center point latitude (decimal degrees)
    longitude: Center point longitude (decimal degrees)
    radius: Search radius in meters (defaults to 1000m/1km)
    parking_type: Optional filter for specific types of parking facilities
                 (""surface"", ""underground"", ""multi-storey"", etc.)
    
Returns:
    List of parking facilities with:
    - Name and type
    - Capacity information if available
    - Fee structure if available
    - Access restrictions
    - Distance from search point
"
Sequential Thinking MCP Server,sequentialthinking,"A detailed tool for dynamic and reflective problem-solving through thoughts.
This tool helps analyze problems through a flexible thinking process that can adapt and evolve.
Each thought can build on, question, or revise previous insights as understanding deepens.

When to use this tool:
- Breaking down complex problems into steps
- Planning and design with room for revision
- Analysis that might need course correction
- Problems where the full scope might not be clear initially
- Problems that require a multi-step solution
- Tasks that need to maintain context over multiple steps
- Situations where irrelevant information needs to be filtered out

Key features:
- You can adjust total_thoughts up or down as you progress
- You can question or revise previous thoughts
- You can add more thoughts even after reaching what seemed like the end
- You can express uncertainty and explore alternative approaches
- Not every thought needs to build linearly - you can branch or backtrack
- Generates a solution hypothesis
- Verifies the hypothesis based on the Chain of Thought steps
- Repeats the process until satisfied
- Provides a correct answer

Parameters explained:
- thought: Your current thinking step, which can include:
* Regular analytical steps
* Revisions of previous thoughts
* Questions about previous decisions
* Realizations about needing more analysis
* Changes in approach
* Hypothesis generation
* Hypothesis verification
- next_thought_needed: True if you need more thinking, even if at what seemed like the end
- thought_number: Current number in sequence (can go beyond initial total if needed)
- total_thoughts: Current estimate of thoughts needed (can be adjusted up/down)
- is_revision: A boolean indicating if this thought revises previous thinking
- revises_thought: If is_revision is true, which thought number is being reconsidered
- branch_from_thought: If branching, which thought number is the branching point
- branch_id: Identifier for the current branch (if any)
- needs_more_thoughts: If reaching end but realizing more thoughts needed

You should:
1. Start with an initial estimate of needed thoughts, but be ready to adjust
2. Feel free to question or revise previous thoughts
3. Don't hesitate to add more thoughts if needed, even at the ""end""
4. Express uncertainty when present
5. Mark thoughts that revise previous thinking or branch into new paths
6. Ignore information that is irrelevant to the current step
7. Generate a solution hypothesis when appropriate
8. Verify the hypothesis based on the Chain of Thought steps
9. Repeat the process until satisfied with the solution
10. Provide a single, ideally correct answer as the final output
11. Only set next_thought_needed to false when truly done and a satisfactory answer is reached"
Bazi MCP (八字 MCP) by Cantian AI,getBaziDetail,根据时间（公历或农历）、性别来获取八字信息。solarDatetime和lunarDatetime必须传且只传其中一个。
Bazi MCP (八字 MCP) by Cantian AI,getSolarTimes,根据八字获取公历时间列表。返回的时间格式为：YYYY-MM-DD hh:mm:ss。例如时间1998年7月31日下午2点整表示为：1998-07-31 14:00:00
Bazi MCP (八字 MCP) by Cantian AI,getChineseCalendar,获取指定公历时间（默认今天）的黄历信息。
Bazi MCP (八字 MCP) by Cantian AI,buildBaziFromLunarDatetime,根据农历时间、性别来获取八字信息。
Bazi MCP (八字 MCP) by Cantian AI,buildBaziFromSolarDatetime,根据阳历时间、性别来获取八字信息。
Maven Dependencies MCP Server,get_latest_release,Get the latest release version of a Maven dependency (excludes pre-releases by default)
Maven Dependencies MCP Server,check_maven_version_exists,Check if a specific version of a Maven dependency exists
Maven Dependencies MCP Server,list_maven_versions,List Maven dependency versions sorted by last updated date (most recent first)
Met Museum MCP Server,list-departments,List all departments in the Metropolitan Museum of Art (Met Museum)
Met Museum MCP Server,search-museum-objects,"Search for objects in the Metropolitan Museum of Art (Met Museum). Will return Total objects found, followed by a list of Object Ids.The parameter title should be set to true if you want to search for objects by title.The parameter hasImages is false by default, but can be set to true to return objects without images.If the parameter hasImages is true, the parameter title should be false."
Met Museum MCP Server,get-museum-object,"Get a museum object by its ID, from the Metropolitan Museum of Art Collection"
mcp-github-trending MCP Server,get_github_trending_repositories,Get trending repositories on github
mcp-github-trending MCP Server,get_github_trending_developers,Get trending developers on github
Simple Document Processing MCP Server,document_reader,"Read content from non-image document-files at specified paths, supporting various file formats: .pdf, .docx, .txt, .html, .csv"
Simple Document Processing MCP Server,pdf_merger,Merge multiple PDF files into one
Simple Document Processing MCP Server,pdf_splitter,Split a PDF file into multiple files
Simple Document Processing MCP Server,docx_to_pdf,Convert DOCX files to PDF format
Simple Document Processing MCP Server,docx_to_html,Convert DOCX to HTML while preserving formatting
Simple Document Processing MCP Server,html_cleaner,Clean HTML by removing unnecessary tags and attributes
Simple Document Processing MCP Server,html_to_text,Convert HTML to plain text while preserving structure
Simple Document Processing MCP Server,html_to_markdown,Convert HTML to Markdown format
Simple Document Processing MCP Server,html_extract_resources,"Extract all resources (images, videos, links) from HTML"
Simple Document Processing MCP Server,html_formatter,Format and beautify HTML code
Simple Document Processing MCP Server,text_diff,Compare two text files and show differences
Simple Document Processing MCP Server,text_splitter,Split text file by specified delimiter or line count
Simple Document Processing MCP Server,text_formatter,Format text with proper indentation and line spacing
Simple Document Processing MCP Server,text_encoding_converter,Convert text between different encodings
Simple Document Processing MCP Server,excel_read,Read Excel file and convert to JSON format while preserving structure
Simple Document Processing MCP Server,format_convert,"Convert between different document formats (Markdown, HTML, XML, JSON)"
MCP Server Chart,generate_area_chart,"Generate a area chart to show data trends under continuous independent variables and observe the overall data trend, such as, displacement = velocity (average or instantaneous) × time: s = v × t. If the x-axis is time (t) and the y-axis is velocity (v) at each moment, an area chart allows you to observe the trend of velocity over time and infer the distance traveled by the area's size."
MCP Server Chart,generate_bar_chart,"Generate a bar chart to show data for numerical comparisons among different categories, such as, comparing categorical data and for horizontal comparisons."
MCP Server Chart,generate_boxplot_chart,"Generate a boxplot chart to show data for statistical summaries among different categories, such as, comparing the distribution of data points across categories."
MCP Server Chart,generate_column_chart,"Generate a column chart, which are best for comparing categorical data, such as, when values are close, column charts are preferable because our eyes are better at judging height than other visual elements like area or angles."
MCP Server Chart,generate_district_map,"Generates regional distribution maps, which are usually used to show the administrative divisions and coverage of a dataset. It is not suitable for showing the distribution of specific locations, such as urban administrative divisions, GDP distribution maps of provinces and cities across the country, etc. This tool is limited to generating data maps within China."
MCP Server Chart,generate_dual_axes_chart,"Generate a dual axes chart which is a combination chart that integrates two different chart types, typically combining a bar chart with a line chart to display both the trend and comparison of data, such as, the trend of sales and profit over time."
MCP Server Chart,generate_fishbone_diagram,"Generate a fishbone diagram chart to uses a fish skeleton, like structure to display the causes or effects of a core problem, with the problem as the fish head and the causes/effects as the fish bones. It suits problems that can be split into multiple related factors."
MCP Server Chart,generate_flow_diagram,"Generate a flow diagram chart to show the steps and decision points of a process or system, such as, scenarios requiring linear process presentation."
MCP Server Chart,generate_funnel_chart,"Generate a funnel chart to visualize the progressive reduction of data as it passes through stages, such as, the conversion rates of users from visiting a website to completing a purchase."
MCP Server Chart,generate_histogram_chart,"Generate a histogram chart to show the frequency of data points within a certain range. It can observe data distribution, such as, normal and skewed distributions, and identify data concentration areas and extreme points."
MCP Server Chart,generate_line_chart,"Generate a line chart to show trends over time, such as, the ratio of Apple computer sales to Apple's profits changed from 2000 to 2016."
MCP Server Chart,generate_liquid_chart,"Generate a liquid chart to visualize a single value as a percentage, such as, the current occupancy rate of a reservoir or the completion percentage of a project."
MCP Server Chart,generate_mind_map,"Generate a mind map chart to organizes and presents information in a hierarchical structure with branches radiating from a central topic, such as, a diagram showing the relationship between a main topic and its subtopics."
MCP Server Chart,generate_network_graph,"Generate a network graph chart to show relationships (edges) between entities (nodes), such as, relationships between people in social networks."
MCP Server Chart,generate_organization_chart,"Generate an organization chart to visualize the hierarchical structure of an organization, such as, a diagram showing the relationship between a CEO and their direct reports."
MCP Server Chart,generate_path_map,"Generate a route map to display the user's planned route, such as travel guide routes."
MCP Server Chart,generate_pie_chart,"Generate a pie chart to show the proportion of parts, such as, market share and budget allocation."
MCP Server Chart,generate_pin_map,"Generate a point map to display the location and distribution of point data on the map, such as the location distribution of attractions, hospitals, supermarkets, etc."
MCP Server Chart,generate_radar_chart,"Generate a radar chart to display multidimensional data (four dimensions or more), such as, evaluate Huawei and Apple phones in terms of five dimensions: ease of use, functionality, camera, benchmark scores, and battery life."
MCP Server Chart,generate_sankey_chart,"Generate a sankey chart to visualize the flow of data between different stages or categories, such as, the user journey from landing on a page to completing a purchase."
MCP Server Chart,generate_scatter_chart,"Generate a scatter chart to show the relationship between two variables, helps discover their relationship or trends, such as, the strength of correlation, data distribution patterns."
MCP Server Chart,generate_treemap_chart,"Generate a treemap chart to display hierarchical data and can intuitively show comparisons between items at the same level, such as, show disk space usage with treemap."
MCP Server Chart,generate_venn_chart,"Generate a Venn diagram to visualize the relationships between different sets, showing how they intersect and overlap, such as the commonalities and differences between various groups."
MCP Server Chart,generate_violin_chart,"Generate a violin chart to show data for statistical summaries among different categories, such as, comparing the distribution of data points across categories."
MCP Server Chart,generate_word_cloud_chart,"Generate a word cloud chart to show word frequency or weight through text size variation, such as, analyzing common words in social media, reviews, or feedback."
鸣潮 MCP Server,get_artifact_info,"获取库街区上的声骸详细信息并以 Markdown 格式返回。

Args:
    artifact_name: 要查询的声骸套装的中文名称。

Returns:
    包含声骸信息的 Markdown 字符串，
    或者在找不到声骸或获取数据失败时返回错误消息。
"
鸣潮 MCP Server,get_character_info,"获取库街区上的角色详细信息包括角色技能，养成攻略等，并以 Markdown 格式返回。

Args:
    character_name: 要查询的角色的中文名称。

Returns:
    包含角色信息的 Markdown 字符串，
    或者在找不到角色或获取数据失败时返回错误消息。
"
鸣潮 MCP Server,get_character_profile,"获取库街区上的角色档案信息并以 Markdown 格式返回。

Args:
    character_name: 要查询的角色的中文名称。

Returns:
    包含角色档案信息的 Markdown 字符串，
    或者在找不到角色或获取数据失败时返回错误消息。
"
Yahoo Finance MCP Server,get_ticker_info,"Retrieve stock data including company info, financials, trading metrics and governance data."
Yahoo Finance MCP Server,get_ticker_news,"Fetches recent news articles related to a specific stock symbol with title, content, and source details."
Yahoo Finance MCP Server,search,"Fetches and organizes search results from Yahoo Finance, including stock quotes and news articles."
Yahoo Finance MCP Server,get_top,"Get top entities (ETFs, mutual funds, companies, growth companies, or performing companies) in a sector."
Yahoo Finance MCP Server,get_price_history,Fetch historical price data for a given stock symbol over a specified period and interval.
Wikipedia MCP Server,search_wikipedia,Search Wikipedia for articles matching a query.
Wikipedia MCP Server,get_article,Get the full content of a Wikipedia article.
Wikipedia MCP Server,get_summary,Get a summary of a Wikipedia article.
Wikipedia MCP Server,summarize_article_for_query,Get a summary of a Wikipedia article tailored to a specific query.
Wikipedia MCP Server,summarize_article_section,Get a summary of a specific section of a Wikipedia article.
Wikipedia MCP Server,extract_key_facts,"Extract key facts from a Wikipedia article, optionally focused on a topic."
Wikipedia MCP Server,get_related_topics,Get topics related to a Wikipedia article based on links and categories.
Wikipedia MCP Server,get_sections,Get the sections of a Wikipedia article.
Wikipedia MCP Server,get_links,Get the links contained within a Wikipedia article.
MCP OKPPT Server,insert_svg,"
将SVG图像插入到PPTX文件的指定位置。(如果需要替换已有的幻灯片，请组合使用`delete_slide`和`insert_blank_slide`功能)
如果未提供PPTX路径，将自动创建一个临时文件，位于服务器同级目录的tmp目录。
如果未提供输出路径，将使用标准输出目录，位于服务器同级目录的output目录。
如果未提供坐标，默认对齐幻灯片左上角。
如果未提供宽度和高度，默认覆盖整个幻灯片（16:9）。

支持批量处理：
- 如果svg_path是单个字符串数组，则将SVG添加到slide_number指定的页面
- 如果svg_path是列表，则从slide_number开始顺序添加每个SVG，即第一个SVG添加到
  slide_number页，第二个添加到slide_number+1页，依此类推

Args:
    pptx_path: PPTX文件路径，如果未提供则自动创建一个临时文件，最好使用英文路径
    svg_path: SVG文件路径或SVG文件路径列表，最好使用英文路径
    slide_number: 起始幻灯片编号（从1开始）
    x_inches: X坐标（英寸），如果未指定则默认为0
    y_inches: Y坐标（英寸），如果未指定则默认为0
    width_inches: 宽度（英寸），如果未指定则使用幻灯片宽度
    height_inches: 高度（英寸），如果未指定则根据宽度计算或使用幻灯片高度
    output_path: 输出文件路径，如果未指定则使用标准输出目录
    create_if_not_exists: 如果为True且PPTX文件不存在，将自动创建一个新文件
    
Returns:
    操作结果消息，包含详细的错误信息（如果有）
"
MCP OKPPT Server,list_files,"
列出目录中的文件，可选按文件类型过滤。
如需查看svg文件是否正确保存，请输入svg文件的保存路径。
Args:
    directory: 要列出文件的目录路径
    file_type: 文件类型过滤，可以是 ""svg"" 或 ""pptx""
    
Returns:
    文件列表（每行一个文件）
"
MCP OKPPT Server,get_file_info,"
获取文件信息，如存在状态、大小等。

Args:
    file_path: 要查询的文件路径
    
Returns:
    文件信息
"
MCP OKPPT Server,convert_svg_to_png,"
将SVG文件转换为PNG图像。

Args:
    svg_path: SVG文件路径
    output_path: 输出PNG文件路径，如果未指定则使用相同文件名但扩展名为.png
    
Returns:
    操作结果消息
"
MCP OKPPT Server,get_pptx_info,"
获取PPTX文件的基本信息，包括幻灯片数量。

Args:
    pptx_path: PPTX文件路径
    
Returns:
    包含文件信息和幻灯片数量的字符串
"
MCP OKPPT Server,save_svg_code,"
将SVG代码保存为SVG文件并返回保存的绝对路径。
!!!注意：特殊字符如""&""需要转义为""&amp;""
Args:
    svg_code: SVG代码内容
    
Returns:
    操作结果消息，包含保存的文件路径或错误信息
"
MCP OKPPT Server,delete_slide,"
从PPTX文件中删除指定编号的幻灯片。

!!!注意：

在使用SVG替换PPT幻灯片内容时，我们发现了一些关键点，以下是正确替换PPT内容的方法总结：

### 正确替换PPT内容的方法

1. **完全替换法**（最可靠）：
- 删除需要替换的幻灯片（使用`delete_slide`功能）
- 在同一位置插入空白幻灯片（使用`insert_blank_slide`功能）
- 将新的SVG内容插入到空白幻灯片（使用`insert_svg`功能）

2. **新文件法**（适合多页修改）：
- 创建全新的PPT文件
- 将所有需要的SVG（包括已修改的）按顺序插入到新文件中
- 这样可以避免在旧文件上操作导致的混淆和叠加问题

3. **注意事项**：
- 直接对现有幻灯片插入SVG会导致新内容叠加在原内容上，而非替换
- 文件名可能会随着多次操作变得过长，影响可读性
- 批量插入SVG时，`svg_path`参数必须是数组形式，即使只有一个文件
- 操作后应检查输出文件以确认修改是否成功

### 推荐工作流

1. 先保存修改后的SVG内容到文件
2. 创建一个全新的PPT文件
3. 按顺序一次性插入所有SVG（包括已修改和未修改的）
4. 使用简洁直观的文件名

这种方法避免了多步骤操作导致的文件混乱，也能确保每张幻灯片都是干净的、不包含叠加内容的。

Args:
    pptx_path: PPTX文件路径
    slide_number: 要删除的幻灯片编号（从1开始）
    output_path: 输出文件路径，如果未指定则使用标准输出目录
    
Returns:
    操作结果消息
"
MCP OKPPT Server,insert_blank_slide,"
在PPTX文件的指定位置插入一个空白幻灯片。

!!!注意：

在使用SVG替换PPT幻灯片内容时，我们发现了一些关键点，以下是正确替换PPT内容的方法总结：

### 正确替换PPT内容的方法

1. **完全替换法**（最可靠）：
- 删除需要替换的幻灯片（使用`delete_slide`功能）
- 在同一位置插入空白幻灯片（使用`insert_blank_slide`功能）
- 将新的SVG内容插入到空白幻灯片（使用`insert_svg`功能）

2. **新文件法**（适合多页修改）：
- 创建全新的PPT文件
- 将所有需要的SVG（包括已修改的）按顺序插入到新文件中
- 这样可以避免在旧文件上操作导致的混淆和叠加问题

3. **注意事项**：
- 直接对现有幻灯片插入SVG会导致新内容叠加在原内容上，而非替换
- 文件名可能会随着多次操作变得过长，影响可读性
- 批量插入SVG时，`svg_path`参数必须是数组形式，即使只有一个文件
- 操作后应检查输出文件以确认修改是否成功

### 推荐工作流

1. 先保存修改后的SVG内容到文件
2. 创建一个全新的PPT文件
3. 按顺序一次性插入所有SVG（包括已修改和未修改的）
4. 使用简洁直观的文件名

这种方法避免了多步骤操作导致的文件混乱，也能确保每张幻灯片都是干净的、不包含叠加内容的。

Args:
    pptx_path: PPTX文件路径
    slide_number: 要插入幻灯片的位置编号（从1开始）
    layout_index: 幻灯片布局索引，默认为6（空白布局）
    output_path: 输出文件路径，如果未指定则使用标准输出目录
    create_if_not_exists: 如果为True且PPTX文件不存在，将自动创建一个新文件
    
Returns:
    操作结果消息
"
MCP OKPPT Server,copy_svg_slide,"
专门用于复制包含SVG图像的幻灯片，确保SVG和相关引用都被正确复制。

此函数使用直接操作PPTX内部XML文件的方式，确保SVG图像及其引用在复制过程中完全保留。
与普通的copy_slide函数相比，此函数特别关注SVG图像的复制，保证SVG的矢量属性在复制后依然可用。

Args:
    source_pptx_path: 源PPTX文件路径
    target_pptx_path: 目标PPTX文件路径，如果为空则创建新文件
    source_slide_number: 要复制的源幻灯片页码（从1开始）
    target_slide_number: 要插入到目标文件的位置（从1开始），如果为None则添加到末尾
    output_path: 输出文件路径，如果未指定则使用标准输出目录
    create_if_not_exists: 如果为True且目标PPTX文件不存在，将自动创建一个新文件
    
Returns:
    操作结果消息
"
MCP OKPPT Server,svg_prompt,使用SVG设计宗师角色提示，当用户希望大模型生成或优化ppt时，使用此prompt对用户需求进行细化
MCP OKPPT Server,analyze_presentation_layouts,Analyzes the layout details of a PowerPoint presentation and returns a JSON string of the analysis.
MCP OKPPT Server,add_slide_with_layout,Inserts a new slide with a specified layout into a presentation and returns a JSON string of the result.
MCP OKPPT Server,clear_placeholders_from_slides,Clears content from placeholders in specified slides of a presentation and returns a JSON string of the result.
MCP OKPPT Server,set_placeholder_value,Assigns content to a specific placeholder on a specific slide and returns a JSON string of the result.
Time MCP Server,get_current_time,Get current time in a specific timezones
Time MCP Server,convert_time,Convert time between timezones
kospi-kosdaq-stock-server,load_all_tickers,"Loads all ticker symbols and names for KOSPI and KOSDAQ into memory.

Returns:
    Dict[str, str]: A dictionary mapping tickers to stock names.
    Example: {""005930"": ""삼성전자"", ""035720"": ""카카오"", ...}
"
kospi-kosdaq-stock-server,get_stock_ohlcv,"Retrieves OHLCV (Open/High/Low/Close/Volume) data for a specific stock.

Args:
    fromdate (str): Start date for retrieval (YYYYMMDD)
    todate   (str): End date for retrieval (YYYYMMDD)
    ticker   (str): Stock ticker symbol
    adjusted (bool, optional): Whether to use adjusted prices (True: adjusted, False: unadjusted). Defaults to True.

Returns:
    DataFrame:
        >> get_stock_ohlcv(""20210118"", ""20210126"", ""005930"")
                        Open     High     Low    Close   Volume
        Date
        2021-01-26  89500  94800  89500  93800  46415214
        2021-01-25  87300  89400  86800  88700  25577517
        2021-01-22  89000  89700  86800  86800  30861661
        2021-01-21  87500  88600  86500  88100  25318011
        2021-01-20  89000  89000  86500  87200  25211127
        2021-01-19  84500  88000  83600  87000  39895044
        2021-01-18  86600  87300  84100  85000  43227951
"
kospi-kosdaq-stock-server,get_stock_market_cap,"Retrieves market capitalization data for a specific stock.

Args:
    fromdate (str): Start date for retrieval (YYYYMMDD)
    todate   (str): End date for retrieval (YYYYMMDD)
    ticker   (str): Stock ticker symbol

Returns:
    DataFrame:
        >> get_stock_market_cap(""20150720"", ""20150724"", ""005930"")
                          Market Cap  Volume      Trading Value  Listed Shares
        Date
        2015-07-24  181030885173000  196584  241383636000  147299337
        2015-07-23  181767381858000  208965  259446564000  147299337
        2015-07-22  184566069261000  268323  333813094000  147299337
        2015-07-21  186039062631000  194055  244129106000  147299337
        2015-07-20  187806654675000  128928  165366199000  147299337
"
kospi-kosdaq-stock-server,get_stock_fundamental,"Retrieves fundamental data (PER/PBR/Dividend Yield) for a specific stock.

Args:
    fromdate (str): Start date for retrieval (YYYYMMDD)
    todate   (str): End date for retrieval (YYYYMMDD)
    ticker   (str): Stock ticker symbol

Returns:
    DataFrame:
        >> get_stock_fundamental(""20210104"", ""20210108"", ""005930"")
                          BPS        PER       PBR   EPS       DIV   DPS
            Date
            2021-01-08  37528  28.046875  2.369141  3166  1.589844  1416
            2021-01-07  37528  26.187500  2.210938  3166  1.709961  1416
            2021-01-06  37528  25.953125  2.189453  3166  1.719727  1416
            2021-01-05  37528  26.500000  2.240234  3166  1.690430  1416
            2021-01-04  37528  26.218750  2.210938  3166  1.709961  1416
"
kospi-kosdaq-stock-server,get_stock_trading_volume,"Retrieves trading volume by investor type for a specific stock.

Args:
    fromdate (str): Start date for retrieval (YYYYMMDD)
    todate   (str): End date for retrieval (YYYYMMDD)
    ticker   (str): Stock ticker symbol

Returns:
    DataFrame with columns:
    - Volume (Sell/Buy/Net Buy)
    - Trading Value (Sell/Buy/Net Buy)
    Broken down by investor types (Financial Investment, Insurance, Trust, etc.)
"
MCP Server: Mermaid Validator,validateMermaid,Validates a Mermaid diagram and returns the rendered SVG if valid
Playwright MCP Server,start_codegen_session,Start a new code generation session to record Playwright actions
Playwright MCP Server,end_codegen_session,End a code generation session and generate the test file
Playwright MCP Server,get_codegen_session,Get information about a code generation session
Playwright MCP Server,clear_codegen_session,Clear a code generation session without generating a test
Playwright MCP Server,playwright_navigate,Navigate to a URL
Playwright MCP Server,playwright_screenshot,Take a screenshot of the current page or a specific element
Playwright MCP Server,playwright_click,Click an element on the page
Playwright MCP Server,playwright_iframe_click,Click an element in an iframe on the page
Playwright MCP Server,playwright_iframe_fill,Fill an element in an iframe on the page
Playwright MCP Server,playwright_fill,fill out an input field
Playwright MCP Server,playwright_select,Select an element on the page with Select tag
Playwright MCP Server,playwright_hover,Hover an element on the page
Playwright MCP Server,playwright_upload_file,Upload a file to an input[type='file'] element on the page
Playwright MCP Server,playwright_evaluate,Execute JavaScript in the browser console
Playwright MCP Server,playwright_console_logs,Retrieve console logs from the browser with filtering options
Playwright MCP Server,playwright_close,Close the browser and release all resources
Playwright MCP Server,playwright_get,Perform an HTTP GET request
Playwright MCP Server,playwright_post,Perform an HTTP POST request
Playwright MCP Server,playwright_put,Perform an HTTP PUT request
Playwright MCP Server,playwright_patch,Perform an HTTP PATCH request
Playwright MCP Server,playwright_delete,Perform an HTTP DELETE request
Playwright MCP Server,playwright_expect_response,Ask Playwright to start waiting for a HTTP response. This tool initiates the wait operation but does not wait for its completion.
Playwright MCP Server,playwright_assert_response,Wait for and validate a previously initiated HTTP response wait operation.
Playwright MCP Server,playwright_custom_user_agent,Set a custom User Agent for the browser
Playwright MCP Server,playwright_get_visible_text,Get the visible text content of the current page
Playwright MCP Server,playwright_get_visible_html,"Get the HTML content of the current page. By default, all <script> tags are removed from the output unless removeScripts is explicitly set to false."
Playwright MCP Server,playwright_go_back,Navigate back in browser history
Playwright MCP Server,playwright_go_forward,Navigate forward in browser history
Playwright MCP Server,playwright_drag,Drag an element to a target location
Playwright MCP Server,playwright_press_key,Press a keyboard key
Playwright MCP Server,playwright_save_as_pdf,Save the current page as a PDF file
Playwright MCP Server,playwright_click_and_switch_tab,Click a link and switch to the newly opened tab
investor-agent: A Financial Analysis MCP Server,get_cnn_fear_greed_index,Max 30 days of historical data.
investor-agent: A Financial Analysis MCP Server,get_crypto_fear_greed_index,Get historical Crypto Fear & Greed Index data.
investor-agent: A Financial Analysis MCP Server,get_ticker_data,"
Returns:
- info: Core financial metrics (P/E ratios, margins, growth rates, debt ratios, market cap, EPS, etc.)
- calendar: Upcoming earnings dates and dividend dates
- news: Recent news articles (headlines, dates, sources)
- recommendations: Latest analyst recommendations (buy/sell/hold ratings)
- upgrades_downgrades: Recent analyst rating changes
"
investor-agent: A Financial Analysis MCP Server,get_options,"Get options data. Dates: YYYY-MM-DD. Type: C=calls, P=puts."
investor-agent: A Financial Analysis MCP Server,get_price_history,"Get historical OHLCV data: daily intervals for ≤1y periods, monthly intervals for ≥2y periods."
investor-agent: A Financial Analysis MCP Server,get_financial_statements,No description
investor-agent: A Financial Analysis MCP Server,get_institutional_holders,Get major institutional and mutual fund holders.
investor-agent: A Financial Analysis MCP Server,get_earnings_history,No description
investor-agent: A Financial Analysis MCP Server,get_insider_trades,No description
MCP Server LeetCode,get-daily-challenge,No description
MCP Server LeetCode,get-problem,No description
MCP Server LeetCode,search-problems,No description
MCP Server LeetCode,get-user-profile,No description
MCP Server LeetCode,get-user-submissions,No description
MCP Server LeetCode,get-contest-details,No description
MCP Server LeetCode,get-user-contest-ranking,No description
YouTube Transcript Server,get_transcript,Extract transcript from a YouTube video URL or ID
Data.gov MCP Server,package_search,Search for packages (datasets) on Data.gov
Data.gov MCP Server,package_show,Get details for a specific package (dataset)
Data.gov MCP Server,group_list,List groups on Data.gov
Data.gov MCP Server,tag_list,List tags on Data.gov
Airbnb MCP Server,airbnb_search,Search for Airbnb listings with various filters and pagination. Provide direct links to the user
Airbnb MCP Server,airbnb_listing_details,Get detailed information about a specific Airbnb listing. Provide direct links to the user
Knowledge Graph Memory Server,create_entities,Create multiple new entities in the knowledge graph
Knowledge Graph Memory Server,create_relations,Create multiple new relations between entities in the knowledge graph. Relations should be in active voice
Knowledge Graph Memory Server,add_observations,Add new observations to existing entities in the knowledge graph
Knowledge Graph Memory Server,delete_entities,Delete multiple entities and their associated relations from the knowledge graph
Knowledge Graph Memory Server,delete_observations,Delete specific observations from entities in the knowledge graph
Knowledge Graph Memory Server,delete_relations,Delete multiple relations from the knowledge graph
Knowledge Graph Memory Server,read_graph,Read the entire knowledge graph
Knowledge Graph Memory Server,search_nodes,Search for nodes in the knowledge graph based on a query
Knowledge Graph Memory Server,open_nodes,Open specific nodes in the knowledge graph by their names
Hacker News MCP Server,search,Search for stories and comments on Hacker News
Hacker News MCP Server,getStory,Get a single story by ID
Hacker News MCP Server,getStoryWithComments,Get a story with its comments
Hacker News MCP Server,getStories,"Get multiple stories by type (top, new, best, ask, show, job)"
Hacker News MCP Server,getComment,Get a single comment by ID
Hacker News MCP Server,getComments,Get comments for a story
Hacker News MCP Server,getCommentTree,Get a comment tree for a story
Hacker News MCP Server,getUser,Get a user profile by ID
Hacker News MCP Server,getUserSubmissions,Get a user's submissions
Office-PowerPoint-MCP-Server,create_presentation,Create a new PowerPoint presentation.
Office-PowerPoint-MCP-Server,create_presentation_from_template,Create a new PowerPoint presentation from a template file.
Office-PowerPoint-MCP-Server,open_presentation,Open an existing PowerPoint presentation from a file.
Office-PowerPoint-MCP-Server,save_presentation,Save a presentation to a file.
Office-PowerPoint-MCP-Server,get_presentation_info,Get information about a presentation.
Office-PowerPoint-MCP-Server,get_template_file_info,Get information about a template file including layouts and properties.
Office-PowerPoint-MCP-Server,set_core_properties,Set core document properties.
